Interval Start,Interval End,Load
2026-05-08 23:20:00-05:00,2026-05-08 23:25:00-05:00,31314
2026-05-08 23:25:00-05:00,2026-05-08 23:30:00-05:00,31211
2026-05-08 23:30:00-05:00,2026-05-08 23:35:00-05:00,31079
2026-05-08 23:35:00-05:00,2026-05-08 23:40:00-05:00,30942
2026-05-08 23:40:00-05:00,2026-05-08 23:45:00-05:00,30873
2026-05-08 23:45:00-05:00,2026-05-08 23:50:00-05:00,30756
2026-05-08 23:50:00-05:00,2026-05-08 23:55:00-05:00,30606
2026-05-08 23:55:00-05:00,2026-05-09 00:00:00-05:00,30454
2026-05-09 00:00:00-05:00,2026-05-09 00:05:00-05:00,30296
2026-05-09 00:05:00-05:00,2026-05-09 00:10:00-05:00,30215
2026-05-09 00:10:00-05:00,2026-05-09 00:15:00-05:00,30093
2026-05-09 00:15:00-05:00,2026-05-09 00:20:00-05:00,29970
2026-05-09 00:20:00-05:00,2026-05-09 00:25:00-05:00,29901
2026-05-09 00:25:00-05:00,2026-05-09 00:30:00-05:00,29755
2026-05-09 00:30:00-05:00,2026-05-09 00:35:00-05:00,29670
2026-05-09 00:35:00-05:00,2026-05-09 00:40:00-05:00,29557
2026-05-09 00:40:00-05:00,2026-05-09 00:45:00-05:00,29511
2026-05-09 00:45:00-05:00,2026-05-09 00:50:00-05:00,29431
2026-05-09 00:50:00-05:00,2026-05-09 00:55:00-05:00,29331
2026-05-09 00:55:00-05:00,2026-05-09 01:00:00-05:00,29193
2026-05-09 01:00:00-05:00,2026-05-09 01:05:00-05:00,29152
2026-05-09 01:05:00-05:00,2026-05-09 01:10:00-05:00,29142
2026-05-09 01:10:00-05:00,2026-05-09 01:15:00-05:00,29079
2026-05-09 01:15:00-05:00,2026-05-09 01:20:00-05:00,29059
2026-05-09 01:20:00-05:00,2026-05-09 01:25:00-05:00,28954
2026-05-09 01:25:00-05:00,2026-05-09 01:30:00-05:00,28888
2026-05-09 01:30:00-05:00,2026-05-09 01:35:00-05:00,28782
2026-05-09 01:35:00-05:00,2026-05-09 01:40:00-05:00,28744
2026-05-09 01:40:00-05:00,2026-05-09 01:45:00-05:00,28675
2026-05-09 01:45:00-05:00,2026-05-09 01:50:00-05:00,28639
